,parish,municipality,parish_old,matched_parish
51138,Angerum,Blekinge lan ,Angerum,Augerum
51140,Rodeby,Blekinge lan ,Rodeby,Rodeby
51141,Asarum,Blekinge lan ,Asarum,Asarum
51142,Tving,Blekinge lan ,Tving,Tving
51143,Nattraby,Blekinge lan ,Nattraby,Nattraby
51147,Morrum,Blekinge lan ,Morrum,Morrum
51154,Ringamala,Blekinge lan ,Ringamala,Ringamala
51157,Aryd,Blekinge lan ,Aryd,Aryd
51158,Sturko,Blekinge lan ,Sturko,Sturko
51184,Ramdala,Blekinge lan ,Ramdala,Ramdala
51199,Gammaltorp,Blekinge lan ,Gammaltorp,Gammalstorp
51209,Kyrkhult,Blekinge lan ,Kyrkhult,Kyrkhult
51211,Hallaryd,Blekinge lan ,Hallaryd,Hallaryd
51214,Listerby,Blekinge lan ,Listerby,Listerby
51232,Jamjo,Blekinge lan ,Jamjo,Jamjo
51238,Brakne Hoby,Blekinge lan ,Brakne Hoby,Brakne-Hoby
51247,Gammalstorp,Blekinge lan ,Gammalstorp,Gammalstorp
51256,Brakne-Hoby,Blekinge lan ,Brakne-Hoby,Brakne-Hoby
51282,Brakne-Voby,Blekinge lan ,Brakne-Voby,Brakne-Hoby
51285,Tjurko,Blekinge lan ,Tjurko,Tjurko
51288,Solvesborg,Blekinge lan ,Solvesborg,Solvesborg
51306,Rone,Gotlands lan ,Rone,Rone
51311,Dalhem,Gotlands lan ,Dalhem,Dalhem
51313,Klinte,Gotlands lan ,Klinte,Klinte
51314,Othem,Gotlands lan ,Othem,Othem
51315,Hemse,Gotlands lan ,Hemse,Hemse
51318,Bjorke,Gotlands lan ,Bjorke,Bjorke
51322,Barlingbo,Gotlands lan ,Barlingbo,Barlingbo
51324,Bunge,Gotlands lan ,Bunge,Bunge
51327,Ardre,Gotlands lan ,Ardre,Ardre
51328,Endre,Gotlands lan ,Endre,Endre
51331,Rute,Gotlands lan ,Rute,Rute
51338,Roma,Gotlands lan ,Roma,Roma
51339,Hafdhem,Gotlands lan ,Hafdhem,Havdhem
51343,Oja,Gotlands lan ,Oja,Oja
51345,Vallstena,Gotlands lan ,Vallstena,Vallstena
51354,Linde,Gotlands lan ,Linde,Linde
51367,Hellvi,Gotlands lan ,Hellvi,Hellvi
51368,Eskelhem,Gotlands lan ,Eskelhem,Eskelhem
51369,Fole,Gotlands lan ,Fole,Fole
51374,Vange,Gotlands lan ,Vange,Vange
51376,Vesterhejde,Gotlands lan ,Vesterhejde,Vasterhejde
51378,Fleringe,Gotlands lan ,Fleringe,Fleringe
51379,Masterby,Gotlands lan ,Masterby,Masterby
51380,Lummelunda,Gotlands lan ,Lummelunda,Lummelunda
51382,Hogran,Gotlands lan ,Hogran),Hogran
51384,Hogran,Gotlands lan ,Hogran,Hogran
51385,Vestergarn,Gotlands lan ,Vestergarn,Vastergarn
51390,Vate,Gotlands lan ,Vate,Vate
51393,Hangvar,Gotlands lan ,Hangvar,Hangvar
51399,Follingbo,Gotlands lan ,Follingbo,Follingbo
51423,Soderhamn,Gafleborgs lan ,Soderhamn,Soderhamn
51424,Hogbo,Gafleborgs lan ,Hogbo,Hogbo
51425,Ockelbo,Gafleborgs lan ,Ockelbo,Ockelbo
51427,Arbra,Gafleborgs lan ,Arbra,Arbra
51428,Bergsjo,Gafleborgs lan ,Bergsjo,Bergsjo
51430,Alfta,Gafleborgs lan ,Alfta,Alfta
51431,Bollnas,Gafleborgs lan ,Bollnas,Bollnas
51433,Ofvanaker,Gafleborgs lan ,Ofvanaker,Ovanaker
51434,Ljusdal,Gafleborgs lan ,Ljusdal,Ljusdal
51439,Hanebo,Gafleborgs lan ,Hanebo,Hanebo
51441,Jarbo,Gafleborgs lan ,Jarbo,Jarbo
51444,Forssa,Gafleborgs lan ,Forssa,Forsa
51447,Njutanger,Gafleborgs lan ,Njutanger,Njutanger
51453,Ofvansjo,Gafleborgs lan ,Ofvansjo,Ovansjo
51455,Valbo,Gafleborgs lan ,Valbo,Valbo
51469,Stanga,Gotlands lan ,Stanga,Stanga
51474,Farila,Gafleborgs lan ,Farila,Farila
51492,Hassela,Gafleborgs lan ,Hassela,Hassela
51496,Trono,Gafleborgs lan ,Trono,Trono
51497,Torsaker,Gafleborgs lan ,Torsaker,Torsaker
51503,Voxna,Gafleborgs lan ,Voxna,Voxna
51505,Lingbo,Gafleborgs lan ,Lingbo,Lingbo
51506,Hofors,Gafleborgs lan ,Hofors,Hofors
51508,Soderala,Gafleborgs lan ,Soderala,Soderala
51518,Norrala,Gafleborgs lan ,Norrala,Norrala
51521,Hamrange,Gafleborgs lan ,Hamrange,Hamrange
51522,Ljusne,Gafleborgs lan ,Ljusne,Ljusne
51529,Delsbo,Gafleborgs lan ,Delsbo,Delsbo
51530,Hille,Gafleborgs lan ,Hille,Hille
51536,Bjuraker,Gafleborgs lan ,Bjuraker,Bjuraker
51537,Enanger,Gafleborgs lan ,Enanger,Enanger
51548,Amot,Gafleborgs lan ,Amot,Amot
51552,Hamranger,Gafleborgs lan ,Hamranger,Hamrange
51573,Idenor,Gafleborgs lan ,Idenor,Idenor
51650,Ramsjo,Gafleborgs lan ,Ramsjo,Ramsjo
51691,Ljus- dal,Gafleborgs lan ,Ljus- dal,Ljusdal
51701,Loos,Gafleborgs lan ,Loos,Los
51722,Hedesunda,Gafleborgs lan ,Hedesunda,Hedesunda
51724,Skog,Gafleborgs lan ,Skog,Skog
51744,Arsunda,Gafleborgs lan ,Arsunda,Arsunda
51750,Pergsjo,Gafleborgs lan ,Pergsjo,Bergsjo
51781,Hog,Gafleborgs lan ,Hog,Hog
51792,Norrbo,Gafleborgs lan ,Norrbo,Norrbo
51801,Hogbo.,Gafleborgs lan ,Hogbo.,Hogbo
51855,Ockel- bo,Gafleborgs lan ,Ockel- bo,Ockelbo
51888,Rogsta,Gafleborgs lan ,Rogsta,Rogsta
51939,Harmanger,Gafleborgs lan ,Harmanger,Harmanger
51967,Mo,Gafleborgs lan ,Mo,Mo
52094,Halsingtuna,Gafleborgs lan ,Halsingtuna,Halsingtuna
52868,Harplinge,Hallands lan ,Harplinge,Harplinge
52870,Torup,Hallands lan ,Torup,Torup
52873,Getinge,Hallands lan ,Getinge,Getinge
52875,Steninge,Hallands lan ,Steninge,Steninge
52877,Slap,Hallands lan ,Slap,Slap
52912,Kvibille,Hallands lan ,Kvibille,Kvibille
52914,Tolo,Hallands lan ,Tolo,Tolo
52915,Sloinge,Hallands lan ,Sloinge,Sloinge
52916,Tronninge,Hallands lan ,Tronninge,Tronninge
52918,Tvaaker,Hallands lan ,Tvaaker,Tvaaker
52927,Veinge,Hallands lan ,Veinge,Veinge
52931,Oskarstrom,Hallands lan ,Oskarstrom,Oskarstrom
52933,Rolfstorp,Hallands lan ,Rolfstorp,Rolfstorp
52934,Hasslof,Hallands lan ,Hasslof,Hasslov
52937,Abild,Hallands lan ,Abild,Abild
52940,Winberg,Hallands lan ,Winberg,Vinberg
52942,Fjaras,Hallands lan ,Fjaras,Fjaras
52949,Hanhals,Hallands lan ,Hanhals,Hanhals
52953,Sondrum,Hallands lan ,Sondrum,Sondrum
52957,Onsala,Hallands lan ,Onsala,Onsala
52959,Tjarby,Hallands lan ,Tjarby,Tjarby
52962,Eldsberga,Hallands lan ,Eldsberga,Eldsberga
52965,Stafsinge,Hallands lan ,Stafsinge,Stafsinge
52968,Vinberg,Hallands lan ,Vinberg,Vinberg
52969,Arstad,Hallands lan ,Arstad,Arstad
52971,Veddige,Hallands lan ,Veddige,Veddige
52990,Voxtorp,Hallands lan ,Voxtorp,Vaxtorp
52993,Snostorp,Hallands lan ,Snostorp,Snostorp
52994,Morup,Hallands lan ,Morup,Morup
52997,Tonnersjo,Hallands lan ,Tonnersjo,Tonnersjo
53006,Alfshog,Hallands lan ,Alfshog,Alfshog
53014,Grimeton,Hallands lan ,Grimeton,Grimeton
53017,Okome,Hallands lan ,Okome,Okome
53018,Breared,Hallands lan ,Breared,Breared
53026,Skrea,Hallands lan ,Skrea,Skrea
53036,Laholms landsfor- saml.,Hallands lan ,Laholms landsfor- saml.,Laholms landsforsamling
53040,Grimeson,Hallands lan ,Grimeson,Grimeton
53053,Lindberg,Hallands lan ,Lindberg,Lindberg
53054,Drangsered,Hallands lan ,Drangsered,Drangsered
53060,Ljungby,Hallands lan ,Ljungby,Ljungby
53065,Vapno,Hallands lan ,Vapno,Vapno
53067,Rafvinge,Hallands lan ,Rafvinge,Ravinge
53110,Asige,Hallands lan ,Asige,Asige
53113,Slattakra,Hallands lan ,Slattakra,Slattakra
53133,Brackeby,Jamtlands lan ,Brackeby,Bracke
53135,Alanaset,Jamtlands lan ,Alanaset,Alanas
53142,Hasjo,Jamtlands lan ,Hasjo,Hasjo
53288,Stugubyn,Jamtlands lan ,Stugubyn,Stugun
53305,Lillherdal,Jamtlands lan ,Lillherdal,Lillhardal
53333,Tassjo,Jamtlands lan ,Tassjo,Tasjo
53380,Rodon,Jamtlands lan ,Rodon,Rodon
53434,Asen,Jamtlands lan ,Asen,Alsen
53455,Offerdal,Jamtlands lan ,Offerdal,Offerdal
53557,Naskott,Jamtlands lan ,Naskott,Naskott
53696,Stugun,Jamtlands lan ,Stugun,Stugun
53708,Nas,Jamtlands lan ,Nas,Nas
53714,Follinge,Jamtlands lan ,Follinge,Follinge
53725,Sunne,Jamtlands lan ,Sunne,Sunne
53739,Bracke,Jamtlands lan ,Bracke,Bracke
53769,Varnamo,Jonkopings lan ,Varnamo,Varnamo
53773,Gislaved,Jonkopings lan ,Gislaved,Gislaved
53806,Strom,Jamtlands lan ,Strom,Strom
53814,Gnosjo,Jonkopings lan ,Gnosjo,Gnosjo
53817,Nassjo,Jonkopings lan ,Nassjo,Nassjo
53819,Bankeryd,Jonkopings lan ,Bankeryd,Bankeryd
53823,Barnarp,Jonkopings lan ,Barnarp,Barnarp
53836,Saby,Jonkopings lan ,Saby,Saby
53837,Hassleby,Jonkopings lan ,Hassleby,Hassleby
53842,Orreryd,Jonkopings lan ,Orreryd,Oreryd
53856,Rydaholm,Jonkopings lan ,Rydaholm,Rydaholm
53863,Alsheda,Jonkopings lan ,Alsheda,Alseda
53868,Hakarp,Jonkopings lan ,Hakarp,Hakarp
53872,Ingatorp,Jonkopings lan ,Ingatorp,Ingatorp
53874,Svenarum,Jonkopings lan ,Svenarum,Svenarum
53883,Bjorko,Jonkopings lan ,Bjorko,Bjorko
53884,Jarstorp,Jonkopings lan ,Jarstorp,Jarstorp
53885,Malmback,Jonkopings lan ,Malmback,Malmback
53886,Barkeryd,Jonkopings lan ,Barkeryd,Barkeryd
53888,Visingso,Jonkopings lan ,Visingso,Visingso
53891,Gallaryd,Jonkopings lan ,Gallaryd,Gallaryd
