,parish,municipality,parish_old,matched_parish
65621,Stensele,Vasterbottens lan ,Stensele,Stensele
65657,Nordma- ling,Vasterbottens lan ,Nordma- ling,Nordmaling
65671,Nysatra,Vasterbottens lan ,Nysatra,Nysatra
65686,Noramaling,Vasterbottens lan ,Noramaling,Nordmaling
65714,Nysatra;,Vasterbottens lan ,Nysatra;,Nysatra
65808,Borgsjo,Vesternorrlands lan ,Borgsjo,Borgsjo
65813,Alno,Vesternorrlands lan ,Alno,Alno
65817,Hafvero,Vesternorrlands lan ,Hafvero,Havero
65822,Skon,Vesternorrlands lan ,Skon,Skon
65824,Torp,Vesternorrlands lan ,Torp,Torp
65829,Hogsjo,Vesternorrlands lan ,Hogsjo,Hogsjo
65833,Tre- horningsjo,Vesternorrlands lan ,Tre- horningsjo,Trehorningsjo
65837,Helgerum,Vesternorrlands lan ,Helgerum,Helgum
65853,Ramsele,Vesternorrlands lan ,Ramsele,Ramsele
65855,Njurunda,Vesternorrlands lan ,Njurunda,Njurunda
65857,Timra,Vesternorrlands lan ,Timra,Timra
65864,Sollefte&,Vesternorrlands lan ,Sollefte&,Solleftea
65867,Hellgum,Vesternorrlands lan ,Hellgum,Helgum
65871,Anundsjo,Vesternorrlands lan ,Anundsjo,Anundsjo
65876,Sabra,Vesternorrlands lan ,Sabra,Sabra
65878,Resele,Vesternorrlands lan ,Resele,Resele
65879,Gudmundra,Vesternorrlands lan ,Gudmundra,Gudmundra
65892,Junsele,Vesternorrlands lan ,Junsele,Junsele
65896,Ullanger,Vesternorrlands lan ,Ullanger,Ullanger
65902,Tuna,Vesternorrlands lan ,Tuna,Tuna
65908,Mo,Vesternorrlands lan ,Mo,Mo
65910,Natra,Vesternorrlands lan ,Natra,Natra
65911,Ljustorp,Vesternorrlands lan ,Ljustorp,Ljustorp
65913,Indal,Vesternorrlands lan ,Indal,Indal
65914,Sattna,Vesternorrlands lan ,Sattna,Sattna
65916,Multra,Vesternorrlands lan ,Multra,Multra
65920,Helgum,Vesternorrlands lan ,Helgum,Helgum
65926,Sjalevad,Vesternorrlands lan ,Sjalevad,Sjalevad
65929,Ed,Vesternorrlands lan ,Ed,Ed
65931,Gidea,Vesternorrlands lan ,Gidea,Gidea
65932,Bjartra,Vesternorrlands lan ,Bjartra,Bjartra
65943,Ofverlannas,Vesternorrlands lan ,Ofverlannas,Overlannas
65944,Ytterlannas,Vesternorrlands lan ,Ytterlannas,Ytterlannas
65947,Langsele,Vesternorrlands lan ,Langsele,Langsele
65949,Adals-Liden,Vesternorrlands lan ,Adals-Liden,Adals-Liden
65961,Liden,Vesternorrlands lan ,Liden,Liden
65980,Nordingra,Vesternorrlands lan ,Nordingra,Nordingra
65983,Torsaker,Vesternorrlands lan ,Torsaker,Torsaker
65996,Sidensjo,Vesternorrlands lan ,Sidensjo,Sidensjo
65998,Bjertra,Vesternorrlands lan ,Bjertra,Bjartra
66005,Holm,Vesternorrlands lan ,Holm,Holm
66008,Dal,Vesternorrlands lan ,Dal,Dal
66009,Hemso,Vesternorrlands lan ,Hemso,Hemso
66012,Gud- mundra,Vesternorrlands lan ,Gud- mundra,Gudmundra
66016,Hassjo,Vesternorrlands lan ,Hassjo,Hassjo
66024,Edsele,Vesternorrlands lan ,Edsele,Edsele
66048,Solleftea,Vesternorrlands lan ,Solleftea,Solleftea
66058,Attmar,Vesternorrlands lan ,Attmar,Attmar
66068,Indals-Liden,Vesternorrlands lan ,Indals-Liden,Adals-Liden
66115,Nora,Vesternorrlands lan ,Nora,Nora
66122,Styrnas,Vesternorrlands lan ,Styrnas,Styrnas
66124,Graninge,Vesternorrlands lan ,Graninge,Graninge
66150,Selanger,Vesternorrlands lan ,Selanger,Selanger
66152,Stode,Vesternorrlands lan ,Stode,Stode
66155,Skons,Vesternorrlands lan ,Skons,Skon
66161,Ytter- lannas,Vesternorrlands lan ,Ytter- lannas,Ytterlannas
66205,Bjorna,Vesternorrlands lan ,Bjorna,Bjorna
66211,Arnas,Vesternorrlands lan ,Arnas,Arnas
66212,Grundsunda,Vesternorrlands lan ,Grundsunda,Grundsunda
66221,Tyndero,Vesternorrlands lan ,Tyndero,Tyndero
66283,Nordingsra,Vesternorrlands lan ,Nordingsra,Nordingra
66299,Sanga,Vesternorrlands lan ,Sanga,Sanga
66330,Bogsjo,Vesternorrlands lan ,Bogsjo,Borgsjo
66357,Gudmundr,Vesternorrlands lan ,Gudmundr,Gudmundra
66366,Skog,Vesternorrlands lan ,Skog,Skog
66425,Hellgums,Vesternorrlands lan ,Hellgums,Helgum
66446,Skarped,Vesternorrlands lan ,Skarped,Skorped
66455,Botea,Vesternorrlands lan ,Botea,Botea
66546,Sabr,Vesternorrlands lan ,Sabr,Sabra
66548,Bjorna;,Vesternorrlands lan ,Bjorna;,Bjorna
66576,Torp.,Vesternorrlands lan ,Torp.,Torp
66635,Vibyggera,Vesternorrlands lan ,Vibyggera,Vibyggera
66639,Sundsvall,Vesternorrlands lan ,Sundsvall,Sundsvall
66689,Skon.,Vesternorrlands lan ,Skon.,Skon
66697,Stigsjo,Vesternorrlands lan ,Stigsjo,Stigsjo
66709,Torup,Vesternorrlands lan ,Torup,Torp
66805,Grund- sunda,Vesternorrlands lan ,Grund- sunda,Grundsunda
66820,Malma,Vastmanlands lan ,Malma,Malma
66821,Kolback,Vastmanlands lan ,Kolback,Kolback
66826,Vastanfors,Vastmanlands lan ,Vastanfors,Vastanfors
66827,Norberg,Vastmanlands lan ,Norberg,Norberg
66831,Skultuna,Vastmanlands lan ,Skultuna,Skultuna
66834,Kumla,Vastmanlands lan ,Kumla,Kumla
66836,Hed,Vastmanlands lan ,Hed,Hed
66840,Hubbo,Vastmanlands lan ,Hubbo,Hubbo
66843,Karbenning,Vastmanlands lan ,Karbenning,Karbenning
66845,Skinnskatte- berg,Vastmanlands lan ,Skinnskatte- berg,Skinnskatteberg
66848,Koping,Vastmanlands lan ,Koping,Koping
66867,Bjorskog,Vastmanlands lan ,Bjorskog,Bjorskog
66869,Sura,Vastmanlands lan ,Sura,Sura
66870,Skinnskatteberg.,Vastmanlands lan ,Skinnskatteberg.,Skinnskatteberg
66890,Ramnas,Vastmanlands lan ,Ramnas,Ramnas
66891,Satterbo,Vastmanlands lan ,Satterbo,Saterbo
66895,Skinnskatteberg,Vastmanlands lan ,Skinnskatteberg,Skinnskatteberg
66897,Dingtuna,Vastmanlands lan ,Dingtuna,Dingtuna
66901,Saby,Vastmanlands lan ,Saby,Saby
66907,Odensvi,Vastmanlands lan ,Odensvi,Odensvi
66910,Vasteras-Bar- karo,Vastmanlands lan ,Vasteras-Bar- karo,Vasteras-Barkaro
66916,Torpa,Vastmanlands lan ,Torpa,Torpa
66919,Munktorp,Vastmanlands lan ,Munktorp,Munktorp
66932,Norrby,Vastmanlands lan ,Norrby,Norrby
66941,Ryttern,Vastmanlands lan ,Ryttern,Rytterne
66957,Gunnilbo,Vastmanlands lan ,Gunnilbo,Gunnilbo
66969,Harbo,Vastmanlands lan ,Harbo,Harbo
66972,Wittinge,Vastmanlands lan ,Wittinge,Vittinge
66979,Tillberga,Vastmanlands lan ,Tillberga,Tillberga
67024,Karrbo,Vastmanlands lan ,Karrbo,Karrbo
67058,Skinn- skatteberg,Vastmanlands lan ,Skinn- skatteberg,Skinnskatteberg
67071,Irsta,Vastmanlands lan ,Irsta,Irsta
67093,Torstuna,Vastmanlands lan ,Torstuna,Tortuna
67119,Norberg.,Vastmanlands lan ,Norberg.,Norberg
67123,Malma.,Vastmanlands lan ,Malma.,Malma
67134,Haraker,Vastmanlands lan ,Haraker,Haraker
67142,Nora,Vastmanlands lan ,Nora,Nora
67236,Sala,Vastmanlands lan ,Sala,Sala
67247,Artemark,Alfsborgs lan ,Artemark,Artemark
67248,Lerum,Alfsborgs lan ,Lerum,Lerum
67250,Orsas,Alfsborgs lan ,Orsas,Orsas
67251,Skallerud,Alfsborgs lan ,Skallerud,Skallerud
67256,Bjorksta,Vastmanlands lan ,Bjorksta,Bjorksta
67289,Nodinge,Alfsborgs lan ,Nodinge,Nodinge
67291,Fritsla,Alfsborgs lan ,Fritsla,Fritsla
67292,Backe,Alfsborgs lan ,Backe,Backe
67296,Svenljunga,Alfsborgs lan ,Svenljunga,Svenljunga
67301,Tranemo,Alfsborgs lan ,Tranemo,Tranemo
67303,Herr- ljunga,Alfsborgs lan ,Herr- ljunga,Herrljunga
67305,Kullings-Skofde,Alfsborgs lan ,Kullings-Skofde,Kullings-Skovde
67308,Dals Ed,Alfsborgs lan ,Dals Ed,Dals-Ed
67309,Stensby,Alfsborgs lan ,Stensby,Steneby
67311,Toarp,Alfsborgs lan ,Toarp,Toarp
67313,Wassanda-Naglum,Alfsborgs lan ,Wassanda-Naglum,Vassanda-Naglum
67316,Gallstad,Alfsborgs lan ,Gallstad,Gallstad
67319,Starrkarr,Alfsborgs lan ,Starrkarr,Starrkarr
67331,Ostad,Alfsborgs lan ,Ostad,Ostad
67338,Trollhattan,Alfsborgs lan ,Trollhattan,Trollhattan
67342,Fargelanda,Alfsborgs lan ,Fargelanda,Fargelanda
67355,Fristad,Alfsborgs lan ,Fristad,Fristad
67359,Torpa,Alfsborgs lan ,Torpa,Torpa
67360,Nittorp,Alfsborgs lan ,Nittorp,Nittorp
67365,Hyssna,Alfsborgs lan ,Hyssna,Hyssna
67372,Seglora,Alfsborgs lan ,Seglora,Seglora
67379,Dalum,Alfsborgs lan ,Dalum,Dalum
67391,Laxarby,Alfsborgs lan ,Laxarby,Laxarby
67392,Odskoldt,Alfsborgs lan ,Odskoldt,Odskolt
67397,Skallsjo,Alfsborgs lan ,Skallsjo,Skallsjo
67399,Herrljunga,Alfsborgs lan ,Herrljunga,Herrljunga
67411,Or,Alfsborgs lan ,Or,Or
67424,Satila,Alfsborgs lan ,Satila,Satila
67427,Orby,Alfsborgs lan ,Orby,Orby
67440,Fuxerna,Alfsborgs lan ,Fuxerna,Fuxerna
67462,Sexdraga,Alfsborgs lan ,Sexdraga,Sexdrega
67471,Gallestad,Alfsborgs lan ,Gallestad,Gallstad
67472,Grude,Alfsborgs lan ,Grude,Grude
67482,Fors,Alfsborgs lan ,Fors,Fors
67490,Hajom,Alfsborgs lan ,Hajom,Hajom
67514,Bollebygd,Alfsborgs lan ,Bollebygd,Bollebygd
67520,Ale-Skofde,Alfsborgs lan ,Ale-Skofde,Ale-Skovde
67539,Magra,Alfsborgs lan ,Magra,Magra
67547,Hogsater,Alfsborgs lan ,Hogsater,Hogsater
67550,Klnnarumma,Alfsborgs lan ,Klnnarumma,Kinnarumma
67563,Skepplanda,Alfsborgs lan ,Skepplanda,Skepplanda
67564,Dalskog,Alfsborgs lan ,Dalskog,Dalskog
67569,Bralanda,Alfsborgs lan ,Bralanda,Bralanda
67596,Bone,Alfsborgs lan ,Bone,Bone
67598,Froskog,Alfsborgs lan ,Froskog,Froskog
67599,Eriksberg,Alfsborgs lan ,Eriksberg,Eriksberg
67602,Bolstad,Alfsborgs lan ,Bolstad,Bolstad
67629,Torrskog,Alfsborgs lan ,Torrskog,Torrskog
67671,Erska,Alfsborgs lan ,Erska,Erska
67685,Siene,Alfsborgs lan ,Siene,Siene
67700,Balinge,Alfsborgs lan ,Balinge,Balinge
67720,Skalle- rud,Alfsborgs lan ,Skalle- rud,Skallerud
67723,Hossna,Alfsborgs lan ,Hossna,Hossna
67726,Ljushult,Alfsborgs lan ,Ljushult,Ljushult
67728,Refvesjo,Alfsborgs lan ,Refvesjo,Revesjo
67734,Mjoback,Alfsborgs lan ,Mjoback,Mjoback
67745,Rolanda,Alfsborgs lan ,Rolanda,Rolanda
67746,Lagmansered,Alfsborgs lan ,Lagmansered,Lagmansered
67805,Hemsjo,Alfsborgs lan ,Hemsjo,Hemsjo
67810,Habol,Alfsborgs lan ,Habol,Habol
67824,Wassanda-Nag- lum,Alfsborgs lan ,Wassanda-Nag- lum,Vassanda-Naglum
67827,Brunn,Alfsborgs lan ,Brunn,Brunn
67831,Ullasjo,Alfsborgs lan ,Ullasjo,Ullasjo
67846,Rangedala,Alfsborgs lan ,Rangedala,Rangedala
67854,Frandefors,Alfsborgs lan ,Frandefors,Frandefors
67883,Mo,Alfsborgs lan ,Mo,Mo
67886,Romelle,Alfsborgs lan ,Romelle,Rommele
67887,Fullestad,Alfsborgs lan ,Fullestad,Fullestad
67891,Rodene,Alfsborgs lan ,Rodene,Rodene
67895,Steneby,Alfsborgs lan ,Steneby,Steneby
67923,Fuxerna;,Alfsborgs lan ,Fuxerna;,Fuxerna
67944,Fennekumla,Alfsborgs lan ,Fennekumla,Finnekumla
67946,Varvik,Alfsborgs lan ,Varvik,Varvik
67976,Rommele,Alfsborgs lan ,Rommele,Rommele
67991,Gingri,Alfsborgs lan ,Gingri,Gingri
68000,Istorp,Alfsborgs lan ,Istorp,Istorp
68004,Algutstorp,Alfsborgs lan ,Algutstorp,Algutstorp
68014,Marback,Alfsborgs lan ,Marback,Marback
68034,Kllanda,Alfsborgs lan ,Kllanda,Kilanda
68040,Olsremma,Alfsborgs lan ,Olsremma,Olsremma
68046,Holm,Alfsborgs lan ,Holm,Holm
68050,Langhem,Alfsborgs lan ,Langhem,Langhem
68051,Finnekumla,Alfsborgs lan ,Finnekumla,Finnekumla
68066,Tverred,Alfsborgs lan ,Tverred,Tvarred
68087,Tunge,Alfsborgs lan ,Tunge,Tunge
68100,Kalingared,Alfsborgs lan ,Kalingared,Kolingared
68125,Timmele,Alfsborgs lan ,Timmele,Timmele
68145,Odsborg,Alfsborgs lan ,Odsborg,Odeborg
68183,Hudene,Alfsborgs lan ,Hudene,Hudene
68194,Naglum,Alfsborgs lan ,Naglum,Naglum
68206,Odeborg,Alfsborgs lan ,Odeborg,Odeborg
68223,Hammar,Orebro lan ,Hammar,Hammar
68225,Karlskoga,Orebro lan ,Karlskoga,Karlskoga
68230,Ljusnarsberg,Orebro lan ,Ljusnarsberg,Ljusnarsberg
68233,Hallsberg,Orebro lan ,Hallsberg,Hallsberg
68239,Svenne- vad,Orebro lan ,Svenne- vad,Svennevad
68251,Nasby,Orebro lan ,Nasby,Nasby
68253,Viker,Orebro lan ,Viker,Viker
68258,Kumla,Orebro lan ,Kumla,Kumla
68262,Knista,Orebro lan ,Knista,Knista
68266,Hallberg,Orebro lan ,Hallberg,Hallsberg
68272,Fellings- bro,Orebro lan ,Fellings- bro,Fellingsbro
68282,Fel- lingsbro,Orebro lan ,Fel- lingsbro,Fellingsbro
68284,Viby,Orebro lan ,Viby,Viby
68285,Ljusnars- berg,Orebro lan ,Ljusnars- berg,Ljusnarsberg
68289,Hellefors,Orebro lan ,Hellefors,Hallefors
68291,Tysslinge,Orebro lan ,Tysslinge,Tysslinge
68293,Ljus- narsberg,Orebro lan ,Ljus- narsberg,Ljusnarsberg
68301,Lerback,Orebro lan ,Lerback,Lerback
68305,Hjulsjo,Orebro lan ,Hjulsjo,Hjulsjo
68329,Ramsberg,Orebro lan ,Ramsberg,Ramsberg
68343,Ham- mar,Orebro lan ,Ham- mar,Hammar
68359,Ler- back,Orebro lan ,Ler- back,Lerback
68392,Fellingsbro,Orebro lan ,Fellingsbro,Fellingsbro
68396,Linde,Orebro lan ,Linde,Linde
68407,Langbro,Orebro lan ,Langbro,Langbro
68409,Norrbyas,Orebro lan ,Norrbyas,Norrbyas
68426,Odeby,Orebro lan ,Odeby,Odeby
68439,Rams- berg,Orebro lan ,Rams- berg,Ramsberg
68445,Kracklinge,Orebro lan ,Kracklinge,Kracklinge
68449,Snaflunda,Orebro lan ,Snaflunda,Snavlunda
68455,Ansta,Orebro lan ,Ansta,Ansta
68475,Gallersta,Orebro lan ,Gallersta,Gallersta
68480,Guld- smedshyttan,Orebro lan ,Guld- smedshyttan,Guldsmedshyttan
68514,Ervalla,Orebro lan ,Ervalla,Ervalla
68525,Asker,Orebro lan ,Asker,Asker
68530,Guldsmedshytte,Orebro lan ,Guldsmedshytte,Guldsmedshyttan
68534,Hidinge,Orebro lan ,Hidinge,Hidinge
68539,Karl- skoga,Orebro lan ,Karl- skoga,Karlskoga
68543,Jarnboas,Orebro lan ,Jarnboas,Jarnboas
68544,Skol- lersta,Orebro lan ,Skol- lersta,Skollersta
68554,Tyss- linge,Orebro lan ,Tyss- linge,Tysslinge
68560,Kalskoga,Orebro lan ,Kalskoga,Karlskoga
68562,Skagers- hult,Orebro lan ,Skagers- hult,Skagershult
68564,Rammdeboda,Orebro lan ,Rammdeboda,Ramundeboda
68609,Guldsmeds- hyttan,Orebro lan ,Guldsmeds- hyttan,Guldsmedshyttan
68631,Skollersta,Orebro lan ,Skollersta,Skollersta
68653,Almby,Orebro lan ,Almby,Almby
68661,Krack- linge,Orebro lan ,Krack- linge,Kracklinge
68703,Mosjo,Orebro lan ,Mosjo,Mosjo
68716,Eds- berg,Orebro lan ,Eds- berg,Edsberg
68746,Glans- hammar,Orebro lan ,Glans- hammar,Glanshammar
68806,Lannas,Orebro lan ,Lannas,Lannas
68808,Ekeby,Orebro lan ,Ekeby,Ekeby
68825,Skagershult,Orebro lan ,Skagershult,Skagershult
68840,Axberg,Orebro lan ,Axberg,Axberg
68875,Askersund,Orebro lan ,Askersund,Askersund
68893,Edsberg,Orebro lan ,Edsberg,Edsberg
68926,Sven- nevad,Orebro lan ,Sven- nevad,Svennevad
68968,Glanshammar,Orebro lan ,Glanshammar,Glanshammar
68993,Ska- gershult,Orebro lan ,Ska- gershult,Skagershult
69003,Grafve,Orebro lan ,Grafve,Grave
69068,Tanger- asa,Orebro lan ,Tanger- asa,Tangerasa
69070,Ramundeboda,Orebro lan ,Ramundeboda,Ramundeboda
69096,NLjus- narsberg,Orebro lan ,N. Ljus- narsberg,Ljusnarsberg
69108,Lang- bro,Orebro lan ,Lang- bro,Langbro
69122,Hackvad,Orebro lan ,Hackvad,Hackvad
69149,Nysund,Orebro lan ,Nysund,Nysund
69151,Ny- sund,Orebro lan ,Ny- sund,Nysund
69157,Klmstad,Ostergotlands lan ,Klmstad,Kimstad
69158,Haradsahmmar,Ostergotlands lan ,Haradsahmmar,Haradshammar
69162,Kullerstad,Ostergotlands lan ,Kullerstad,Kullerstad
69166,Skedevi,Ostergotlands lan ,Skedevi,Skedevi
69169,Risinge,Ostergotlands lan ,Risinge,Risinge
69174,Mjolby,Ostergotlands lan ,Mjolby,Mjolby
69196,Ramun- deboda,Orebro lan ,Ramun- deboda,Ramundeboda
69202,Motala,Ostergotlands lan ,Motala,Motala
69205,Nasby,Ostergotlands lan ,Nasby,Nasby
69211,Motala;,Ostergotlands lan ,Motala;,Motala
69213,Qvillinge,Ostergotlands lan ,Qvillinge,Kvillinge
69217,Tjallmo,Ostergotlands lan ,Tjallmo,Tjallmo
69223,Herrberga,Ostergotlands lan ,Herrberga,Herrberga
69225,Odeshog,Ostergotlands lan ,Odeshog,Odeshog
69236,Asbo,Ostergotlands lan ,Asbo,Asbo
69242,Orberga,Ostergotlands lan ,Orberga,Orberga
69244,Tornevalla,Ostergotlands lan ,Tornevalla,Tornevalla
69247,Brunneby,Ostergotlands lan ,Brunneby,Brunneby
69251,Svanehals,Ostergotlands lan ,Svanehals,Svanshals
69258,Kallstad,Ostergotlands lan ,Kallstad,Kallstad
69260,Vasterlosa,Ostergotlands lan ,Vasterlosa,Vasterlosa
69270,Torpa,Ostergotlands lan ,Torpa,Torpa
69271,Dagsberg,Ostergotlands lan ,Dagsberg,Dagsberg
69273,Bjorrater,Ostergotlands lan ,Bjorrater,Bjorsater
69277,Vikingstad,Ostergotlands lan ,Vikingstad,Vikingstad
69279,Nykil,Ostergotlands lan ,Nykil,Nykil
69280,Ekeby,Ostergotlands lan ,Ekeby,Ekeby
69286,Sjogestad,Ostergotlands lan ,Sjogestad,Sjogestad
69288,Ledberg,Ostergotlands lan ,Ledberg,Ledberg
69293,Hallestad,Ostergotlands lan ,Hallestad,Hallestad
69295,Rystad,Ostergotlands lan ,Rystad,Rystad
69299,Vinnerstad,Ostergotlands lan ,Vinnerstad,Vinnerstad
69305,Skarkind,Ostergotlands lan ,Skarkind,Skarkind
69307,Kaga,Ostergotlands lan ,Kaga,Kaga
69309,Husby,Ostergotlands lan ,Husby,Husby
69312,Styrestad,Ostergotlands lan ,Styrestad,Styrstad
69318,Normlosa,Ostergotlands lan ,Normlosa,Normlosa
69323,Ortomta,Ostergotlands lan ,Ortomta,Ortomta
69324,Bankekind,Ostergotlands lan ,Bankekind,Bankekind
69328,Kettilstad,Ostergotlands lan ,Kettilstad,Kattilstad
69334,Vreta kloster,Ostergotlands lan ,Vreta kloster,Vreta kloster
69338,Slaka,Ostergotlands lan ,Slaka,Slaka
69343,Vallerstad,Ostergotlands lan ,Vallerstad,Vallerstad
69345,Kristberg,Ostergotlands lan ,Kristberg,Kristberg
69363,Rappestad,Ostergotlands lan ,Rappestad,Rappestad
69370,Skallvik,Ostergotlands lan ,Skallvik,Skallvik
69392,Ljung,Ostergotlands lan ,Ljung,Ljung
69406,Lonsas,Ostergotlands lan ,Lonsas,Lonsas
69416,Ekebyborna,Ostergotlands lan ,Ekebyborna,Ekebyborna
69418,Klockrike,Ostergotlands lan ,Klockrike,Klockrike
69452,Herrestad,Ostergotlands lan ,Herrestad,Herrestad
69470,Horn,Ostergotlands lan ,Horn,Horn
69472,A,Ostergotlands lan ,A,A
69474,Fornas,Ostergotlands lan ,Fornas,Fornasa
69478,Konungsund,Ostergotlands lan ,Konungsund,Konungsund
69480,Sund,Ostergotlands lan ,Sund,Sund
69507,Rono,Ostergotlands lan ,Rono,Rono
69521,Godegard,Ostergotlands lan ,Godegard,Godegard
69533,Svanhals,Ostergotlands lan ,Svanhals,Svanshals
69544,Tingstad,Ostergotlands lan ,Tingstad,Tingstad
69553,Skonberga,Ostergotlands lan ,Skonberga,Skonberga
69557,Taby,Ostergotlands lan ,Taby,Taby
69559,Odehog,Ostergotlands lan ,Odehog,Odeshog
69565,Vordsberg,Ostergotlands lan ,Vordsberg,Vardsberg
69575,Oppeby,Ostergotlands lan ,Oppeby,Oppeby
69576,Bjalbo,Ostergotlands lan ,Bjalbo,Bjalbo
69595,Stra,Ostergotlands lan ,Stra,Stra
69602,Veta,Ostergotlands lan ,Veta,Veta
69604,Gryt,Ostergotlands lan ,Gryt,Gryt
69606,Oslunda,Ostergotlands lan ,Oslunda,Orlunda
69610,Lillkyrka,Ostergotlands lan ,Lillkyrka,Lillkyrka
69621,Valdemarsvik,Ostergotlands lan ,Valdemarsvik,Valdemarsvik
69628,Aby,Ostergotlands lan ,Aby,Aby
69655,Sya,Ostergotlands lan ,Sya,Sya
69669,Haradshammar,Ostergotlands lan ,Haradshammar,Haradshammar
69673,Vardnas,Ostergotlands lan ,Vardnas,Vardnas
69681,Bjorsater,Ostergotlands lan ,Bjorsater,Bjorsater
69687,Bjorkeberg,Ostergotlands lan ,Bjorkeberg,Bjorkeberg
69688,Ringarum,Ostergotlands lan ,Ringarum,Ringarum
69694,Landeryd,Ostergotlands lan ,Landeryd,Landeryd
69697,Rok,Ostergotlands lan ,Rok,Rok
69713,Fjallmo,Ostergotlands lan ,Fjallmo,Tjallmo
69715,Dagberg,Ostergotlands lan ,Dagberg,Dagsberg
69721,Gardeby,Ostergotlands lan ,Gardeby,Gardeby
69724,Rogslosa,Ostergotlands lan ,Rogslosa,Rogslosa
69743,Hogby,Ostergotlands lan ,Hogby,Hogby
69749,Barkekind,Ostergotlands lan ,Barkekind,Bankekind
69757,Kuddby,Ostergotlands lan ,Kuddby,Kuddby
69767,Karna,Ostergotlands lan ,Karna,Karna
69780,Harg,Ostergotlands lan ,Harg,Harg
69797,Bjornsater,Ostergotlands lan ,Bjornsater,Bjorsater
69819,Furingstad,Ostergotlands lan ,Furingstad,Furingstad
69856,Svinhult,Ostergotlands lan ,Svinhult,Svinhult
69863,Fifvelstad,Ostergotlands lan ,Fifvelstad,Fivelstad
69880,Valde- marsvik,Ostergotlands lan ,Valde- marsvik,Valdemarsvik
69898,Skeppsas,Ostergotlands lan ,Skeppsas,Skeppsas
69925,Flistad,Ostergotlands lan ,Flistad,Flistad
69954,Simontorp,Ostergotlands lan ,Simontorp,Simonstorp
69979,Horns,Ostergotlands lan ,Horns,Horn
69981,Skeda,Ostergotlands lan ,Skeda,Skeda
70011,Hogstad,Ostergotlands lan ,Hogstad,Hogstad
70013,Svin- hult,Ostergotlands lan ,Svin- hult,Svinhult
70015,Ulrika,Ostergotlands lan ,Ulrika,Ulrika
70043,Mogata,Ostergotlands lan ,Mogata,Mogata
70066,Askeby,Ostergotlands lan ,Askeby,Askeby
70075,Grebo,Ostergotlands lan ,Grebo,Grebo
70081,Fjarstad,Ostergotlands lan ,Fjarstad,Tjarstad
70133,Krokek,Ostergotlands lan ,Krokek,Krokek
70142,Klttilstad,Ostergotlands lan ,Klttilstad,Kattilstad
70166,Atvid,Ostergotlands lan ,Atvid,Atvid
70180,Jonsberg,Ostergotlands lan ,Jonsberg,Jonsberg
70212,Yxnerum,Ostergotlands lan ,Yxnerum,Yxnerum
70219,Stjarnarp,Ostergotlands lan ,Stjarnarp,Stjarnorp
70286,Regna,Ostergotlands lan ,Regna,Regna
70289,Tidersrum,Ostergotlands lan ,Tidersrum,Tidersrum
70341,Sater,Skaraborgs lan ,Sater,Sater
70345,Vamb,Skaraborgs lan ,Vamb,Vamb
70347,Bareberg,Skaraborgs lan ,Bareberg,Bareberg
70348,Vara,Skaraborgs lan ,Vara,Vara
70353,Forshem,Skaraborgs lan ,Forshem,Forshem
70355,Rackeby,Skaraborgs lan ,Rackeby,Rackeby
70357,Leksberg,Skaraborgs lan ,Leksberg,Leksberg
70361,Undenas,Skaraborgs lan ,Undenas,Undenas
70363,Friggeraker,Skaraborgs lan ,Friggeraker,Friggeraker
70365,Lyre- stad,Skaraborgs lan ,Lyre- stad,Lyrestad
70367,Toreboda,Skaraborgs lan ,Toreboda,Toreboda
70370,Harene,Skaraborgs lan ,Harene,Harene
70372,Vattlosa,Skaraborgs lan ,Vattlosa,Vattlosa
70373,Sunnersberg,Skaraborgs lan ,Sunnersberg,Sunnersberg
70376,Frojered,Skaraborgs lan ,Frojered,Frojered
70379,Karlsborg,Skaraborgs lan ,Karlsborg,Karlsborg
70380,Levene,Skaraborgs lan ,Levene,Levene
70381,Halna,Skaraborgs lan ,Halna,Halna
70383,Un- denas,Skaraborgs lan ,Un- denas,Undenas
70385,Frosved,Skaraborgs lan ,Frosved,Frosve
70387,Klnneved,Skaraborgs lan ,Klnneved,Kinneved
70402,Essunga,Skaraborgs lan ,Essunga,Essunga
70405,Ryda,Skaraborgs lan ,Ryda,Ryda
70406,Ut- vangstorp,Skaraborgs lan ,Ut- vangstorp,Utvangstorp
70408,Gotened,Skaraborgs lan ,Gotened,Gotene
70409,Dimbo,Skaraborgs lan ,Dimbo,Dimbo
70411,Safvared,Skaraborgs lan ,Safvared,Savare
70413,Lyrestad,Skaraborgs lan ,Lyrestad,Lyrestad
70415,Stenstorp,Skaraborgs lan ,Stenstorp,Stenstorp
70418,Horn,Skaraborgs lan ,Horn,Horn
70419,Fagelas,Skaraborgs lan ,Fagelas,Fagelas
70431,Naum,Skaraborgs lan ,Naum,Naum
70432,Husaby,Skaraborgs lan ,Husaby,Husaby
70434,Lerdala,Skaraborgs lan ,Lerdala,Lerdala
70436,Marum,Skaraborgs lan ,Marum,Marum
70451,Varing,Skaraborgs lan ,Varing,Varing
70459,Sandhem,Skaraborgs lan ,Sandhem,Sandhem
70465,Eggby,Skaraborgs lan ,Eggby,Eggby
70482,Nykyrke,Skaraborgs lan ,Nykyrke,Nykyrke
70486,Hangsdala,Skaraborgs lan ,Hangsdala,Hangsdala
70494,Fredsberg,Skaraborgs lan ,Fredsberg,Fredsberg
