parish,county
Djura,Dalarnas
Djurgårdens landsförsamling,Stockholms
Djurö,Stockholms
Djurröd,Kristianstads
Djursdala,Kalmar
Djursholm,Stockholms
Döderhult,Kalmar
Döderhults kbfd,Kalmar
Domkyrkoförsamlingen i Göteborg eller Gustavi och Kristine,Västra Götalands
Dörarp,Kronobergs
Dörby,Kalmar
Dorotea,Västerbottens
Döve,Skaraborgs
Dragsmark,Västra Götalands
Drängsered,Hallands
Drev,Kronobergs
Drothem,Östergötlands
Dunker,Södermanlands
Dvärstorp,Skaraborgs
Dylta bruksförsamling,Örebro
Ed,Stockholms
Ed,Värmlands
Ed,Västernorrlands
Ed,Kalmar
Eda,Värmlands
Eda norra kbfd,Värmlands
Edåsa,Skaraborgs
Eda södra kbfd,Värmlands
Edebo,Stockholms
Edefors,Norrbottens
Edestad,Blekinge
Edhem,Skaraborgs
Edsberg,Örebro
Edsbro,Stockholms
Edsele,Västernorrlands
Edshult,Jönköpings
Edsleskog,Älvsborgs
Edsvära,Skaraborgs
Edum,Skaraborgs
Eftra,Hallands
Egby,Kalmar
Eggby,Skaraborgs
Eggvena,Älvsborgs
Ek,Skaraborgs
Ekby,Skaraborgs
Eke,Kronobergs
Eke,Gotlands
Ekeberga,Kronobergs
Ekeby,Skåne
Ekeby,Örebro
Ekeby,Uppsala
Ekeby,Östergötlands
Ekeby,Gotlands
Ekebyborna,Östergötlands
Ekeby norra kbfd,Östergötlands
Ekeby södra kbfd,Östergötlands
Eker,Örebro
Ekerö,Stockholms
Ekeskog,Skaraborgs
Ekshärad,Värmlands
Eksjö,Jönköpings
Eksjö landsförsamling,Jönköpings
Eksjö stadsförsamling,Jönköpings
Eksta,Gotlands
Eldsberga,Hallands
Elin,Skaraborgs
Eling,Skaraborgs
Elinghem,Gotlands
Eljaröd,Kristianstads
Elleholm,Blekinge
Emmaboda,Kalmar
Emmislöv,Kristianstads
Emtervik,Värmlands
Enåker,Västmanlands
Enånger,Gävleborgs
Enåsa,Skaraborgs
Endre,Gotlands
Engelbrekt,Stockholms
Engelsk-episkopala,Stockholms
Enhörna,Stockholms
Enköping,Uppsala
Enköpings-Näs,Uppsala
Enskede,Stockholms
Enslöv,Hallands
Enviken,Dalarnas
Eriksberg,Älvsborgs
Eriksfält,Skåne
Erikstad,Älvsborgs
Eringsboda,Blekinge
Erska,Älvsborgs
Erstavik,Stockholms
Ervalla,Örebro
Esarp,Skåne
Eskelhem,Gotlands
Eskilsäter,Värmlands
Eskilstorp,Skåne
Eskilstuna,Södermanlands
Eskilstuna Fors,Södermanlands
Eskilstuna Kloster,Södermanlands
Eslöv,Skåne
Eslövs kbfd,Skåne
Essinge,Stockholms
Essunga,Skaraborgs
Estuna,Stockholms
Etelhem,Gotlands
Ettak,Skaraborgs
Everlöv,Skåne
Everöd,Kristianstads
Evertsbergs kbfd,Dalarnas
Fågelås,Skaraborgs
Fågelfors,Kalmar
Fågelö,Skaraborgs
Fågeltofta,Kristianstads
Fagered,Hallands
Fagerhult,Kalmar
Fagerlid,Skaraborgs
Fåglum,Skaraborgs
Fägre,Skaraborgs
Falekvarna,Skaraborgs
Falkenberg,Hallands
Falköping,Skaraborgs
Falköpings landsförsamling,Skaraborgs
Fällfors,Västerbottens
Falsterbo,Skåne
Falsterbo tyska,Skåne
Fälttelegrafkåren,Stockholms
Falu Kristine,Dalarnas
Fänneslunda,Älvsborgs
Fardhem,Gotlands
Färed,Skaraborgs
Färentuna,Stockholms
Färgaryd,Hallands
Färgelanda,Älvsborgs
Farhult,Skåne
Färila,Gävleborgs
Faringe,Uppsala
Färingtofta,Kristianstads
Färlöv,Kristianstads
Färnebo,Värmlands
Fårö,Gotlands
Farsta,Stockholms
Farstorp,Kristianstads
Fässberg,Västra Götalands
Fasta,Stockholms
Fasterna,Stockholms
Fattighusförsamlingen,Västra Götalands
Felestad,Skåne
Fellingsbro,Örebro
Fellingsbro norra,Örebro
Femsjö,Hallands
Fide,Gotlands
Filborna,Skåne
Filipstad,Värmlands
Filkestad,Kristianstads
Film,Uppsala
Fimmerstad,Skaraborgs
Finja,Kristianstads
Finnekumla,Älvsborgs
Finnerödja,Örebro
Finnskoga,Värmlands
Finska,Stockholms
Finska gardesregementet,Stockholms
Finspångs kbfd,Östergötlands
Fiskebäck,Skaraborgs
